"","County","State","Pop2019","NumAbortions","PercentFemale","MedianIncome","PopFemale","abortionRate","abortPer1000","highlyRestrictive","PctDem","White","Hispanic","Black","Native","Asian","Pacific","Lon","Lat","distClinic","distMiles"
"53","Baker County","Oregon",16124,4,0.491,48530,7916.884,0.000505249287472192,0.505249287472192,0,0.24,91.1,3.9,0.9,1,0.8,0.4,-117.6753,44.7092,1,68.989490965791
"54","Baldwin County","Georgia",44890,112,0.493,44429,22130.77,0.00506082707470187,5.06082707470187,1,0.5,52.9,2.2,41.4,0.3,1.5,0.2,-83.2496,33.0692,151,60.3487597926183
"55","Bamberg County","South Carolina",14066,46,0.519,35364,7300.254,0.00630115061749906,6.30115061749906,1,0.62,35.6,1.9,61.5,0.1,0.4,0,-81.0542,33.2148,406,47.9314275616708
"56","Bandera County","Texas",23112,18,0.504,59604,11648.448,0.00154527023685902,1.54527023685902,1,0.2,78.8,18,1,0.2,0.2,0,-99.2463,29.7472,36,55.8221726118714
"57","Banks County","Georgia",19234,17,0.492,53481,9463.128,0.00179644616452403,1.79644616452403,1,0.11,88.4,6.4,2.5,0.2,1.2,0,-83.4974,34.3541,151,60.3487597926183
"58","Baraga County","Michigan",8209,4,0.449,48371,3685.841,0.00108523400765253,1.08523400765253,1,0.37,73.1,1.5,15.8,4.7,0.5,0,-88.3652,46.6626,148,58.5153186347934
"59","Barnwell County","South Carolina",20866,68,0.523,36675,10912.918,0.00623114734299296,6.23114734299296,1,0.46,51.2,2.3,45.1,0.1,0.4,0,-81.435,33.266,406,47.9314275616708
"60","Barron County","Wisconsin",45244,1,0.499,54372,22576.756,4.42933431180281e-05,0.0442933431180281,0,0.36,93.8,2.4,1.2,0.8,0.7,0,-91.8483,45.4237,404,49.6344462233669
"61","Barrow County","Georgia",83240,114,0.51,68924,42452.4,0.00268536054498686,2.68536054498686,1,0.28,73,10,11.1,0.1,3.6,0,-83.7127,33.9932,151,60.3487597926183
"62","Barry County","Michigan",61550,33,0.497,67703,30590.35,0.00107877157338834,1.07877157338834,1,0.33,94.6,2.7,0.4,0.2,0.5,0,-85.309,42.595,191,67.7322756578888
"63","Bartholomew County","Indiana",83779,70,0.497,71181,41638.163,0.00168115005457854,1.68115005457854,1,0.36,83.2,6.5,1.7,0.2,6.3,0.1,-85.8976,39.206,293,26.9604478657599
"64","Bartow County","Georgia",107738,144,0.507,60254,54623.166,0.00263624411664458,2.63624411664458,1,0.24,78.2,8.2,10.5,0.2,0.9,0,-84.8403,34.2377,71,22.4642026575438
"65","Bastrop County","Texas",88723,105,0.491,62627,43562.993,0.00241030270808069,2.41030270808069,1,0.42,53.7,36,7.7,0.4,0.9,0,-97.312,30.1036,492,46.1700118387612
"66","Bay County","Michigan",103126,126,0.509,50130,52491.134,0.00240040537131471,2.40040537131471,1,0.43,90.4,5.2,1.5,0.2,0.6,0,-83.9916,43.708,418,36.5644292320912
"67","Bayfield County","Wisconsin",15036,1,0.491,58065,7382.676,0.000135452239811147,0.135452239811147,0,0.56,85,1.7,0.6,10,0.5,0,-91.2008,46.5238,404,49.6344462233669
